"","review_id","source_id","review_source","score","location"
"1","R_8","C_67","BdCH","neg","1835. Т. 11. С. 1"
"2","R_13","C_68","Telescope","neg","1835. Ч. 27. № 8. С. 123-137. (В. Белинский)"
"3","R_31","C_70","Sev_pchela","neg","1835. № 101. 8 мая. С. 401-402 -- Р.М."
"4","R_32","C_70","BdCH","","1835. Т. 10. С. 30-31"
"5","R_39","C_71","Sev_pchela","???; скорее негативная","1835. № 114. 24 мая. С. 453-454"
"6","R_40","C_71","BdCH","","1835. Т. 10. С. 29-30"
"7","R_48","C_1027","BdCH","neg","1835. Т. 12. С. 3"
"8","R_51","C_73","CO","pos","1836. Ч. 176. № 12. С. 259-272; № 13. С. 309-324 (Я. Неверов)"
"9","R_53","C_73","Telescope","pos","1835. Ч. 27. С. 470-483. В. Белинский"
"10","R_54","C_73","JMNP","pos","1836. Ч. 9. № 3. С. 653-658 -- Я.Н.[Неверов]"
"11","R_55","C_73","Sev_pchela","???","1835. № 290. 20 дек. С. 1157-1158 -- П."
"12","R_62","C_75","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"13","R_64","C_75","BdCH","neg","1835. Т. 9. C. 29; 1837. Т. 21. С. 3-4"
"14","R_72","C_78","BdCH","pos; выписано неск. стихов","1835. Т. 9. С. 23-27"
"15","R_80","C_81","BdCH","pos","1835. Т. 12. С. 17-19"
"16","R_103","C_84","Sev_pchela","neg","1835. № 241. 25 окт. С. 961-962 -- Р.М."
"17","R_104","C_84","BdCH","neg","1835. Т. 12. С. 23"
"18","R_108","C_85","MN","neg","1836. Ч. 6. Кн. 1. С. 90-91. (С. Шевырев)"
"19","R_109","C_85","Telescope","neg","Молва. 1836. № 2. С. 65-71"
"20","R_111","C_85","Sev_pchela","pos","1835. № 217. 27 сент. С. 865-867 -- Н.У."
"21","R_112","C_85","BdCH","pos; выписано неск. стихов","1835. Т. 12. С. 19-23"
"22","R_120","C_86","BdCH","pos","1835. Т. 11. С. 2-3"
"23","R_144","C_89","BdCH","","1835. Т. 10. С. 32"
"24","R_149","C_90","Telescope","neg","1835. Ч. 27. № 10.  С. 357-387. В. Белинский"
"25","R_150","C_90","JMNP","pos","1836. Ч. 9. № 1. С. 192-199 -- Я. Неверов"
"26","R_151","C_90","Sev_pchela","pos","1835. № 240. 24 окт. С. 957-959 -- Р.М."
"27","R_152","C_90","BdCH","pos; но с уколом о плохих сонетах","1835. Т. 13. С.  1-3"
"28","R_158","C_92","JMNP","pos","1836. Ч. 9. № 1. С. 180-192 -- А. Н-но"
"29","R_165","C_95","Telescope","neg","Молва. 1836. № ?. С. 63-64"
"30","R_166","C_95","JMNP","neg","1838. Ч. 20. № 12. С. 589"
"31","R_168","C_95","BdCH","neg","1836. Т. 18. С. 8-9"
"32","R_173","C_96","Telescope","neg","Молва. 1836. №?. С. 211-214"
"33","R_174","C_96","JMNP","pos ","1838. Ч. 20. № 12. С. 589"
"34","R_175","C_96","Sev_pchela","neg; ответ МН","1836. № 144. 26 июн. С. 573-576 -- Р.М."
"35","R_176","C_96","BdCH","pos","1836. Т. 17. С. 1-2"
"36","R_184","C_99","BdCH","neg","1836. Т. 17. С. 25"
"37","R_192","C_101","BdCH","neg","1836. Т. 19. С. 37-41"
"38","R_199","C_107","Sev_pchela","neg","1836. № 104. 9 мая. С. 413-414 -- Р.М."
"39","R_200","C_107","BdCH","neg","1836. Т. 16. С. 18-19"
"40","R_205","C_111","Telescope","pos","Молва. 1836. Ч. 12. С. 28-30"
"41","R_206","C_111","JMNP","neg","1838. Ч. 20. № 12. С. 589"
"42","R_207","C_111","Sev_pchela","pos","1836. № 190. 21 авг. С. 757-759"
"43","R_208","C_111","BdCH","neg","1836. Т. 18. С. 6-8"
"44","R_213","C_112","Telescope","pos","Молва. 1836. № 5. С. 112-114"
"45","R_216","C_112","BdCH","???; выписано 1 стихотв.","1836. Т. 15. С.  1-2"
"46","R_221","C_113","Telescope","neg","Молва. 1836. № 2. С. 64-65"
"47","R_224","C_113","BdCH","neg","1837. Т. 20. С. 39-40"
"48","R_230","C_114","JMNP","pos","1838. Ч. 20. № 12. С. 589"
"49","R_231","C_114","Sev_pchela","???","1836. № 148. 2 июл. С. 589 -- Z.Z.Z."
"50","R_232","C_114","BdCH","neg","1836. Т. 17. С. 2-3"
"51","R_238","C_115","JMNP","pos","1838. Ч. 20. № 12. С. 589"
"52","R_239","C_115","Sev_pchela","???","1836. № 253. 4 ноя. С. 1009-1010 -- Z.Z.Z."
"53","R_240","C_115","BdCH","pos; с уколом","1836. Т. 19. С. 42"
"54","R_241","C_117","Sovr","pos","1836. Т. 3. С. 170-186"
"55","R_246","C_117","JMNP","pos","1838. Ч. 20. № 12. С. 589"
"56","R_248","C_117","BdCH","neg; огромная рец, придирки к предисл","1837. Т. 20. С. 2, 29-35"
"57","R_253","C_118","Telescope","neg","Молва. 1836. № ?. С. 87-88"
"58","R_256","C_118","BdCH","neg","1836. Т. 16. С.  1-2"
"59","R_261","C_119","Telescope","neg","Молва. 1836. № ?. С. 87-88"
"60","R_264","C_119","BdCH","neg","1836. Т. 18. С. 27-30"
"61","R_271","C_121","Sev_pchela","pos","1837. № 2. 4 янв. С. 5 -- В. Б. "
"62","R_272","C_121","BdCH","???","1837. Т. 21. С. 7"
"63","R_280","C_122","BdCH","neg","1837. Т. 20. С. 39"
"64","R_285","C_124","Telescope","neg","Молва. 1836. №?. С. 327"
"65","R_288","C_124","BdCH","neg","1836. Т. 17. С. 25-26"
"66","R_289","C_125","Sovr","neg","1836. Т. 1. С. 313-314"
"67","R_295","C_125","Sev_pchela","neg","1836. № 44. 24 фев. С. 173-175 -- Р.М."
"68","R_296","C_125","BdCH","neg; указание на плагиат","1836. Т. 15. С. 21-22"
"69","R_328","C_131","BdCH","neg","1836. Т. 16. С. 7-8"
"70","R_342","C_133","JMNP","pos","1838. Ч. 20. № 12. С. 589"
"71","R_347","C_138","CO","neg","1837. Ч. 187. № 17. С. 114"
"72","R_350","C_138","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"73","R_351","C_138","Sev_pchela","pos","1837. № 170. 31 июл. С. 677-680 -- Ф. Кони"
"74","R_352","C_138","BdCH","neg; отмечена клишированность и плохие рифмы","1837. Т. 24. С. 1-4"
"75","R_355","C_141","CO","neg","1837. Ч. 187. № 17. С. 110-114"
"76","R_358","C_141","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"77","R_359","C_141","Sev_pchela","neg","1837. № 207. 16 сент. С. 825-827 -- Р.М."
"78","R_360","C_141","BdCH","pos; отмечено отсутствие клише и необычн рифмы","1837. Т. 23. С. 40-42"
"79","R_363","C_142","CO","pos","1837. Ч. 186. № 15. С. 341-348"
"80","R_367","C_142","Sev_pchela","pos","1837. № 185. 19 авг. С. 737-740 -- П.П."
"81","R_368","C_142","BdCH","pos; но с уколами","1837. Т. 24. С. 4-6"
"82","R_375","C_143","Sev_pchela","???; скорее положительная","1837. № 128. 11 июн. С. 505-506 -- М."
"83","R_376","C_143","BdCH","neg","1837. Т. 23. С. 35-40"
"84","R_384","C_144","BdCH","neg","1836. Т. 19. С. 41-42; Т. 20. С. 38-39"
"85","R_392","C_145","BdCH","neg","1836. Т. 19. С. 41-42; Т. 20. С. 38-39"
"86","R_398","C_146","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"87","R_399","C_146","Sev_pchela","pos","1837. № 100. 7 мая. С. 397"
"88","R_400","C_146","BdCH","pos","1837. Т. 22. С. 4"
"89","R_406","C_148","JMNP","neg","1839. Ч. 23. Отд. VI. С. 125"
"90","R_407","C_148","Sev_pchela","neg","1837. № 142. 28 июн. С. 565-567 -- Р.М."
"91","R_408","C_148","BdCH","neg","1837. Т. 22. С. 5-6"
"92","R_416","C_149","BdCH","neg","1837. Т. 25. С. 50-51"
"93","R_423","C_153","Sev_pchela","neg","1837. № 188. 23 авг. С. 749 -- М."
"94","R_424","C_153","BdCH","neg; но отмечено и хорошее?","1837. Т. 23. С. 47-49"
"95","R_432","C_154","BdCH","neg","1837. Т. 25. С. 46-48"
"96","R_435","C_156","CO","pos","1837. Ч. 188. № 21. С. 60-68"
"97","R_438","C_156","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"98","R_439","C_156","Sev_pchela","pos","1837. № 166. 27 июл. С. 661-663 -- Р.М."
"99","R_440","C_156","BdCH","pos","1837. Т. 21. С. 36-39"
"100","R_443","C_159","CO","neg","1838. Т. 2. Отд. 4. С. 78"
"101","R_447","C_159","Sev_pchela","neg","1838. № 5. 7 янв. С. 19"
"102","R_448","C_159","BdCH","neg","1838. Т. 26. С. 1-2"
"103","R_454","C_160","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"104","R_456","C_160","BdCH","neg","1837. Т. 25. С. 48-50"
"105","R_459","C_161","CO","pos","1837. Ч. 185. № 11. С. 304-318"
"106","R_463","C_161","Sev_pchela","pos","1837. № 135. 19 июн. С. 537-540 -- Федор Кони"
"107","R_464","C_161","BdCH","pos?","1837. Т. 25. С. 43-46"
"108","R_467","C_163","CO","neg","1837. Ч. 184. № 7. С. 368-376"
"109","R_472","C_163","BdCH","pos","1837. Т. 21. С. 10-12"
"110","R_475","C_166","CO","pos","1837. Ч. 185. № 9. С. 58-68"
"111","R_478","C_166","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"112","R_479","C_166","Sev_pchela","pos","1837. № 93. 29 апр. С. 369-371; № 94. 30 апр. С. 373-375 -- Т."
"113","R_480","C_166","BdCH","???","1837. Т. 23. С. 1-4"
"114","R_489","C_169","Sovr","pos","1838. Т. 9. С.  85-87"
"115","R_491","C_169","CO","pos","1838. Т. 1. № 2. С. 135-136"
"116","R_495","C_169","Sev_pchela","pos","1838. № 4. 5 янв. С. 15"
"117","R_496","C_169","BdCH","pos","1838. Т. 26. С. 44-46"
"118","R_502","C_170","JMNP","???","1839. Ч. 23. Отд. VI. С. 118"
"119","R_503","C_170","Sev_pchela","neg","1838. № 9. 12 янв. С. 34-35"
"120","R_504","C_170","BdCH","neg","1838. Т. 26. С. 47-48"
"121","R_505","C_171","Sovr","neg","1838. Т. 11. С. 61-62"
"122","R_507","C_171","CO","neg","1838. Т. 4. Отд. 4. С. 56-57"
"123","R_511","C_171","Sev_pchela","neg","1838. № 198. С. 791 -- А."
"124","R_519","C_172","Sev_pchela","neg","1837. № 289. 20 дек. С. 1152 -- М."
"125","R_520","C_172","BdCH","neg","1837. Т. 25. С. 4-6"
"126","R_528","C_173","BdCH","pos","1837. Т. 22. С. 13"
"127","R_536","C_174","BdCH","neg","1837. Т. 22. С. 13"
"128","R_544","C_175","BdCH","neg","1837. Т. 21. С. 3"
"129","R_550","C_177","JMNP","???","1839. Ч. 23. Отд. VI. С. 118"
"130","R_552","C_177","BdCH","neg","1837. Т. 22. С. 11-12"
"131","R_560","C_178","BdCH","neg","1837. Т. 22. С. 11-12"
"132","R_574","C_180","JMNP","neg","1839. Ч. 23. Отд. VI. С. 125"
"133","R_575","C_180","Sev_pchela","neg","1837. № 130. 14 июн. С. 517-519 -- К."
"134","R_576","C_180","BdCH","neg","1837. Т. 23. С. 8-9"
"135","R_590","C_184","JMNP","neg","1839. Ч. 23. Отд. VI. С. 125"
"136","R_592","C_184","BdCH","neg","1837. Т. 22. С. 5-6"
"137","R_594","C_185","OZ","neg","1839. Т. 2. № 2. Отд. 7. С. 19-20"
"138","R_601","C_189","Sovr","pos","1838. Т. 9. С. 87-90"
"139","R_602","C_189","OZ","pos","1839. Т. 1. № 1. Отд. 7. С. 14"
"140","R_603","C_189","CO","neg","1838. Т. 2. Отд. 4. С. 86-96"
"141","R_607","C_189","Sev_pchela","neg","1838. № 14. 18 янв. С. 55"
"142","R_608","C_189","BdCH","pos","1838. Т. 26. С. 44-46"
"143","R_615","C_190","Sev_pchela","","1838. № 228. С. 907"
"144","R_617","C_697","Sovr","pos","1838. Т. 12. С. 70-71"
"145","R_619","C_697","CO","???","1838. Т. 5. Отд. 4. С. 61-62"
"146","R_625","C_192","Sovr","neg","1838. Т. 12. С. 69"
"147","R_627","C_192","CO","neg?","1838. Т. 5. Отд. 4. С. 60-61"
"148","R_633","C_193","Sovr","neg","1839. Т. 14. С. 32-33"
"149","R_635","C_193","CO","neg","1838. Т. 6. № 12. Отд. 4. С. 123-124"
"150","R_640","C_193","BdCH","pos; но с уколами","1839. Т. 32. С. 1-6"
"151","R_641","C_194","Sovr","pos","1839. Т. 13. С. 59-61"
"152","R_642","C_194","OZ","pos; предваряется рассказом об альманахах вообще","1839. Т. 2. № 2. Отд. 7. С. 1-12"
"153","R_643","C_194","CO","pos","1839. Т. 7. № 1. Отд. 4. С. 65-67"
"154","R_647","C_194","Sev_pchela","pos","1839. № 1. С. 2-3 -- Ф.Б."
"155","R_649","C_195","Sovr","neg","1838. Т. 12. С. 69-70"
"156","R_651","C_195","CO","neg","1838. Т. 4. Отд. 4. С. 125"
"157","R_655","C_195","Sev_pchela","neg","1839. № 159. С. 635"
"158","R_657","C_197","Sovr","neg","1839. Т. 13. С. 69-70"
"159","R_664","C_197","BdCH","neg","1838. Т. 31. С. 59-60"
"160","R_665","C_198","Sovr","neg","1838. Т. 12. С. 69-70"
"161","R_667","C_198","CO","neg","1838. Т. 4. Отд. 4. С. 122-125"
"162","R_673","C_199","Sovr","neg","1838. Т. 11. С. 61-62"
"163","R_680","C_199","BdCH","neg","1838. Т. 29. С. 28"
"164","R_681","C_200","Sovr","neg","1839. Т. 14. С. 32-33"
"165","R_682","C_200","OZ","neg","1839. Т. 2. № 3. Отд. 7. С. 144"
"166","R_690","C_201","OZ","neg","1839. Т. 5. Отд. 7. С. 131"
"167","R_691","C_201","CO","neg","1840. Т. 1. Кн. 3. С. 661-662"
"168","R_696","C_201","BdCH","pos; но с уколами","1840. Т. 38. С. 31"
"169","R_702","C_202","JMNP","pos; речь идет о первом издании, 1836?","1838. Ч. 20. № 12. С. 589"
"170","R_703","C_202","Sev_pchela","pos","1836. № 129. 9 июн. С. 513; 1838. № 277. С. 1106-1107 -- Z.Z.Z.; (указ. тип. Авг. Семена)"
"171","R_704","C_202","BdCH","pos; указ тип. Крайя (это изд. 1836 г.)","1836. Т. 17. С. 4; 1838. Т. 31. С. 60 (рец. на третье изд.)"
"172","R_705","C_203","Sovr","neg","1838. Т. 10. С. 61"
"173","R_707","C_203","CO","pos","1838. Т. 2. Отд. 4. С. 163-164"
"174","R_711","C_203","Sev_pchela","pos","1838. № 93. 27 апр. С. 371"
"175","R_712","C_203","BdCH","pos; с выписками","1838. Т. 28. С. 45-51"
"176","R_713","C_204","Sovr","neg","1838. Т. 12. С. 70"
"177","R_721","C_207","Sovr","neg","1838. Т. 10. С. 62"
"178","R_727","C_207","Sev_pchela","neg","1838. № 185. С. 738-739 -- А."
"179","R_728","C_207","BdCH","neg","1838. Т. 28. С. 5-7"
"180","R_729","C_208","Sovr","neg","1838. Т. 12. С. 67-68"
"181","R_731","C_208","CO","pos","1838. Т. 5. Отд. 4. С. 139-140"
"182","R_735","C_208","Sev_pchela","pos","1838. № 231. С. 923 -- Ф. Б."
"183","R_736","C_208","BdCH","neg?","1838. Т. 31. С. 1-11"
"184","R_738","C_209","OZ","pos","1839. Т. 1. № 1. Отд. 7. С. 14"
"185","R_743","C_209","Sev_pchela","pos","1838. № 277. С. 1106-1107"
"186","R_745","C_211","Sovr","neg","1838. Т. 12. С. 70"
"187","R_753","C_212","Sovr","neg","1839. Т. 13. С. 69-70"
"188","R_760","C_212","BdCH","neg","1838. Т. 31. С. 59-60"
"189","R_785","C_233","Sovr","neg","1838. Т. 10. С. 62-63"
"190","R_791","C_233","Sev_pchela","neg","1838. № 176. С. 703 -- А."
"191","R_792","C_233","BdCH","neg; рассуждение о слове “мечта” и пушкине","1838. Т. 28. С. 39-44"
"192","R_793","C_234","Sovr","neg","1838. Т. 11. С. 61-62"
"193","R_795","C_234","CO","neg","1838. Т. 4. Отд. 4. С. 55"
"194","R_799","C_234","Sev_pchela","neg","1838. № 198. С. 791 -- А."
"195","R_800","C_234","BdCH","neg","1838. Т. 29. С. 23-27"
"196","R_809","C_236","Sovr","neg","1839. Т. 14. С. 32-33"
"197","R_810","C_236","OZ","pos; есть “случайная выписка” из сборника, изд. в СПб., тип. Снегирева","1839. Т. 2. № 3. Отд. 7. С. 140-143"
"198","R_817","C_237","Sovr","neg","1838. Т. 12. С. 69-70"
"199","R_835","C_240","CO","neg","1838. Т. 4. Отд. 4. С. 53-55"
"200","R_841","C_241","Sovr","neg","1838. Т. 11. С. 61-62"
"201","R_843","C_241","CO","neg","1838. Т. 4. Отд. 4. С. 122-125"
"202","R_847","C_241","Sev_pchela","neg","1838. № 169. С. 674-675 -- А."
"203","R_850","C_246","OZ","neg","1839. Т. 5. Отд. 7. С. 47-48"
"204","R_857","C_247","Sovr","neg","1839. Т. 14. С. 32-33"
"205","R_865","C_249","Sovr","pos","1838. Т. 9. С. 85-87"
"206","R_871","C_249","Sev_pchela","pos; о поэтическом отделе","1838. № 76. С. 303-304; № 77. С. 306-307; № 78. С. 310-311"
"207","R_872","C_249","BdCH","neg","1838. Т. 28. С. 13-15"
"208","R_889","C_257","Sovr","neg","1840. Т. 18. С. 134"
"209","R_890","C_257","OZ","neg","1840. Т. 8. Отд. 6. С. 10-11"
"210","R_891","C_257","CO","neg","1840. Т. 1. Кн. 2. С. 460"
"211","R_898","C_258","OZ","neg; пишут про подражание Кольцову","1839. Т. 5. Отд. 7. С. 18-20"
"212","R_904","C_258","BdCH","???","1839. Т. 35. С. 7-11"
"213","R_905","C_259","Sovr","pos","1839. Т. 15. С. 61-62"
"214","R_907","C_259","CO","neg","1839. Т. 8. Отд. 4. С. 151-152"
"215","R_911","C_259","Sev_pchela","neg","1839. № 159. С. 635"
"216","R_914","C_260","OZ","pos","1839. Т. 6. Отд. 7. С. 1-13"
"217","R_915","C_260","CO","pos","1839. Т. 10. Отд. 4. С. 145-147"
"218","R_921","C_262","Sovr","neg","1839. Т. 15. С. 62"
"219","R_922","C_262","OZ","neg","1839. Т. 3. № 5. Отд. 7. С. 155"
"220","R_930","C_264","OZ","pos","1841. Т. 14. Отд. 6. С. 49"
"221","R_937","C_265","Sovr","neg","1840. Т. 17. С. 67"
"222","R_938","C_265","OZ","neg; отмечено, что за стихи выдает переделки песен (народных?)","1839. Т. 7. Отд. 7. С. 23-26"
"223","R_939","C_265","CO","neg","1839. Т. 11. Отд. 4. С. 41-42"
"224","R_945","C_266","Sovr","pos","1839. Т. 15. С. 61-62"
"225","R_946","C_266","OZ","neg","1839. Т. 3. № 5. Отд. 7. С. 156"
