"","ending_pair","n_var","feats_list"
"1","-о'вь -- -о'вь",5,"ADV= -- S,жен,неод=(вин,ед|им,ед) 
 S,жен,неод=(вин,ед|им,ед) -- ADV= 
 S,жен,неод=(вин,ед|им,ед) -- S,жен,неод=(вин,ед|им,ед) 
 S,жен,неод=(вин,ед|им,ед) -- V=ед,пов,2-л,сов,пе 
 V=ед,пов,2-л,сов,пе -- S,жен,неод=(вин,ед|им,ед)"
"2","-о'д -- -о'д",7,"S,жен,неод=род,мн -- S,жен,неод=род,мн 
 S,жен,неод=род,мн -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,жен,неод=род,мн 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,муж,од=(вин,мн|род,мн) -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,од=им,ед -- S,жен,неод=род,мн"
"3","-а'ль -- -а'ль",12,"ADV,вводн= -- S,жен,неод=(вин,ед|им,ед) 
 ADV,прдк= -- S,жен,неод=(вин,ед|им,ед) 
 ADV,прдк= -- S,муж,неод=(вин,ед|им,ед) 
 ADV= -- ADV,прдк= 
 ADV= -- S,жен,неод=(вин,ед|им,ед) 
 S,жен,неод=(вин,ед|им,ед) -- ADV,прдк= 
 S,жен,неод=(вин,ед|им,ед) -- ADV= 
 S,жен,неод=(вин,ед|им,ед) -- S,жен,неод=(вин,ед|им,ед) 
 S,жен,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,жен,неод=(вин,ед|им,ед) 
 S,муж,од=им,ед -- ADV,прдк= 
 S,муж,од=им,ед -- S,жен,неод=(вин,ед|им,ед)"
"4","-и'р -- -и'р",12,"S,жен,неод=род,мн -- S,муж,неод=(вин,ед|им,ед) 
 S,жен,неод=род,мн -- S,муж,од=(вин,мн|род,мн|им,ед) 
 S,мж,од=(вин,мн|род,мн) -- S,жен,неод=род,мн 
 S,муж,неод=(вин,ед|им,ед) -- S,гео,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,жен,неод=род,мн 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,муж,од=(вин,мн|род,мн|им,ед) -- S,муж,од=им,ед 
 S,муж,од=им,ед -- S,жен,неод=род,мн 
 S,муж,од=им,ед -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,од=им,ед -- S,муж,од=им,ед 
 S,фам,муж,од=им,ед -- S,муж,неод=(вин,ед|им,ед)"
"5","-ца' -- -ца'",12,"S,муж,неод=род,ед -- S,ед,сред,неод=род 
 S,муж,неод=род,ед -- S,муж,неод=род,ед 
 S,муж,неод=род,ед -- S,муж,од=(вин,ед|род,ед) 
 S,муж,неод=род,ед -- S,сред,неод=(вин,мн|род,ед|им,мн) 
 S,муж,од=(вин,ед|род,ед) -- S,ед,жен,неод=им 
 S,муж,од=(вин,ед|род,ед) -- S,ед,сред,неод=род 
 S,муж,од=(вин,ед|род,ед) -- S,жен,од=им,ед 
 S,муж,од=(вин,ед|род,ед) -- S,муж,неод=род,ед 
 S,муж,од=(вин,ед|род,ед) -- S,муж,од=(вин,ед|род,ед) 
 S,муж,од=(вин,ед|род,ед) -- S,сред,неод=(вин,мн|род,ед|им,мн) 
 S,сред,неод=(вин,мн|род,ед|им,мн) -- S,муж,неод=род,ед 
 S,сред,неод=(вин,мн|род,ед|им,мн) -- S,муж,од=(вин,ед|род,ед)"
"6","-о'р -- -о'р",14,"A=ед,кр,муж -- S,жен,неод=род,мн 
 A=ед,кр,муж -- S,муж,неод=(вин,ед|им,ед) 
 ADV= -- S,муж,неод=(вин,ед|им,ед) 
 S,гео,муж,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,жен,неод=род,мн -- S,жен,неод=род,мн 
 S,жен,неод=род,мн -- S,муж,неод=(вин,ед|им,ед) 
 S,имя,муж,од=им,ед -- S,жен,неод=род,мн 
 S,имя,муж,од=им,ед -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- A=ед,кр,муж 
 S,муж,неод=(вин,ед|им,ед) -- ADV= 
 S,муж,неод=(вин,ед|им,ед) -- S,жен,неод=род,мн 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,муж,од=им,ед -- S,муж,неод=(вин,ед|им,ед)"
"7","-е'нь -- -е'нь",17,"S,ед,жен,неод=(вин|им) -- S,жен,неод=(вин,ед|им,ед) 
 S,ед,жен,неод=(вин|им) -- S,муж,неод=(вин,ед|им,ед) 
 S,жен,неод=(вин,ед|им,ед) -- S,ед,жен,неод=(вин|им) 
 S,жен,неод=(вин,ед|им,ед) -- S,жен,неод=(вин,ед|им,ед) 
 S,жен,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,жен,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,жен,неод=(вин,ед|им,ед) -- V,пе=ед,пов,2-л,сов 
 S,муж,неод=(вин,ед|им,ед) -- ADV= 
 S,муж,неод=(вин,ед|им,ед) -- S,ед,жен,неод=(вин|им) 
 S,муж,неод=(вин,ед|им,ед) -- S,жен,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,жен,неод=род,мн 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,муж,неод=(вин,ед|им,ед) -- V,пе=ед,пов,2-л,сов 
 S,муж,од=им,ед -- S,жен,неод=(вин,ед|им,ед) 
 V,пе=ед,пов,2-л,сов -- S,жен,неод=(вин,ед|им,ед) 
 V,пе=ед,пов,2-л,сов -- V,сов,пе=ед,пов,2-л"
"8","-е'ц -- -е'ц",18,"ADV,вводн= -- S,жен,од=(вин,мн|род,мн) 
 ADV,вводн= -- S,муж,неод=(вин,ед|им,ед) 
 ADV,вводн= -- S,муж,од=им,ед 
 ADV,вводн= -- S,сред,неод=род,мн 
 S,жен,од=(вин,мн|род,мн) -- ADV,вводн= 
 S,жен,од=(вин,мн|род,мн) -- S,муж,од=им,ед 
 S,муж,неод=(вин,ед|им,ед) -- ADV,вводн= 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,муж,неод=(вин,ед|им,ед) -- S,сред,неод=род,мн 
 S,муж,од=им,ед -- ADV,вводн= 
 S,муж,од=им,ед -- S,жен,од=(вин,мн|род,мн) 
 S,муж,од=им,ед -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,од=им,ед -- S,муж,од=им,ед 
 S,муж,од=им,ед -- S,сред,неод=род,мн 
 S,сред,неод=род,мн -- ADV,вводн= 
 S,сред,неод=род,мн -- S,муж,неод=(вин,ед|им,ед) 
 S,сред,неод=род,мн -- S,муж,од=им,ед"
"9","-е'с -- -е'с",19,"S,жен,неод=род,мн -- S,сред,неод=род,мн 
 S,мн,неод=род -- S,муж,неод=(вин,ед|им,ед) 
 S,мн,неод=род -- S,сред,неод=род,мн 
 S,муж,неод=(вин,ед|им,ед) -- S,гео,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,муж,неод=(вин,ед|им,ед) -- S,сред,неод=род,мн 
 S,муж,од=им,ед -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,од=им,ед -- S,сред,неод=род,мн 
 S,сред,неод=род,мн -- S,жен,неод=род,мн 
 S,сред,неод=род,мн -- S,муж,неод=(вин,ед|им,ед) 
 S,сред,неод=род,мн -- S,муж,од=им,ед 
 S,сред,неод=род,мн -- S,сред,неод=род,мн 
 S,сред,неод=род,мн -- V,нп=прош,ед,изъяв,муж,сов 
 S,фам,муж,од=им,ед -- S,муж,неод=(вин,ед|им,ед) 
 V,несов,пе=прош,ед,изъяв,муж -- S,муж,неод=(вин,ед|им,ед) 
 V,несов,пе=прош,ед,изъяв,муж -- S,сред,неод=род,мн 
 V,нп=прош,ед,изъяв,муж,сов -- S,муж,од=им,ед 
 V,нп=прош,ед,изъяв,муж,сов -- S,сред,неод=род,мн"
"10","-о'к -- -о'к",20,"A=ед,кр,муж -- A=ед,кр,муж 
 A=ед,кр,муж -- S,гео,муж,неод=(вин,ед|им,ед) 
 A=ед,кр,муж -- S,муж,неод=(вин,ед|им,ед) 
 ADV,прдк= -- S,муж,неод=(вин,ед|им,ед) 
 ADV= -- S,муж,неод=(вин,ед|им,ед) 
 S,гео,муж,неод=(вин,ед|им,ед) -- A=ед,кр,муж 
 S,гео,муж,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,гео,муж,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,жен,неод=род,мн -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- A=ед,кр,муж 
 S,муж,неод=(вин,ед|им,ед) -- S,гео,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,жен,неод=род,мн 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,неод=(вин,ед|им,ед) -- S,муж,од=им,ед 
 S,муж,неод=(вин,ед|им,ед) -- V,сов,пе=прош,ед,изъяв,муж 
 S,муж,од=им,ед -- A=ед,кр,муж 
 S,муж,од=им,ед -- ADV,прдк= 
 S,муж,од=им,ед -- S,муж,неод=(вин,ед|им,ед) 
 S,муж,од=им,ед -- S,муж,од=им,ед 
 S,муж,од=им,ед -- V,сов,пе=прош,ед,изъяв,муж"
"11","-са' -- -са'",21,"S,ед,сред,неод=(вин|им) -- S,сред,неод=(вин,мн|им,мн) 
 S,жен,неод=им,ед -- S,жен,неод=им,ед 
 S,жен,неод=им,ед -- S,муж,неод=(вин,мн|род,ед|им,мн) 
 S,жен,неод=им,ед -- S,муж,неод=род,ед 
 S,жен,неод=им,ед -- S,сред,неод=(вин,мн|им,мн) 
 S,мн,неод=(вин|им) -- S,сред,неод=(вин,мн|им,мн) 
 S,муж,неод=(вин,мн|род,ед|им,мн) -- S,жен,неод=им,ед 
 S,муж,неод=(вин,мн|род,ед|им,мн) -- S,муж,неод=(вин,мн|род,ед|им,мн) 
 S,муж,неод=(вин,мн|род,ед|им,мн) -- S,муж,од=(вин,ед|род,ед) 
 S,муж,неод=(вин,мн|род,ед|им,мн) -- S,сред,неод=(вин,мн|им,мн) 
 S,муж,неод=род,ед -- S,жен,неод=им,ед 
 S,муж,неод=род,ед -- S,сред,неод=(вин,мн|им,мн) 
 S,муж,неод=род,ед -- S,сред,неод=(вин,мн|род,ед|им,мн) 
 S,сред,неод=(вин,мн|им,мн) -- S,ед,сред,неод=(вин|им) 
 S,сред,неод=(вин,мн|им,мн) -- S,жен,неод=им,ед 
 S,сред,неод=(вин,мн|им,мн) -- S,мн,неод=(вин|им) 
 S,сред,неод=(вин,мн|им,мн) -- S,муж,неод=(вин,мн|род,ед|им,мн) 
 S,сред,неод=(вин,мн|им,мн) -- S,муж,неод=род,ед 
 S,сред,неод=(вин,мн|им,мн) -- S,сред,неод=(вин,мн|им,мн) 
 S,сред,неод=(вин,мн|им,мн) -- S,сред,неод=(вин,мн|род,ед|им,мн) 
 S,сред,неод=(вин,мн|род,ед|им,мн) -- S,муж,неод=род,ед"
"12","-ты' -- -ты'",22,"S,ед,жен,неод=род -- S,ед,жен,неод=род 
 S,ед,жен,неод=род -- S,жен,неод=(вин,мн|род,ед|им,мн) 
 S,ед,жен,неод=род -- SPRO,ед,2-л=им 
 S,жен,неод=(вин,мн|род,ед|им,мн) -- S,ед,жен,неод=род 
 S,жен,неод=(вин,мн|род,ед|им,мн) -- S,жен,неод=(вин,мн|род,ед|им,мн) 
 S,жен,неод=(вин,мн|род,ед|им,мн) -- S,мж,од=(род,ед|им,мн) 
 S,жен,неод=(вин,мн|род,ед|им,мн) -- S,мн,неод=(вин|им) 
 S,жен,неод=(вин,мн|род,ед|им,мн) -- S,муж,неод=(вин,мн|им,мн) 
 S,жен,неод=(вин,мн|род,ед|им,мн) -- SPRO,ед,2-л=им 
 S,мж,од=(род,ед|им,мн) -- S,ед,жен,неод=род 
 S,мж,од=(род,ед|им,мн) -- S,муж,неод=(вин,мн|им,мн) 
 S,мж,од=(род,ед|им,мн) -- SPRO,ед,2-л=им 
 S,муж,неод=(вин,мн|им,мн) -- S,ед,жен,неод=род 
 S,муж,неод=(вин,мн|им,мн) -- S,жен,неод=(вин,мн|род,ед|им,мн) 
 S,муж,неод=(вин,мн|им,мн) -- S,муж,неод=(вин,мн|им,мн) 
 S,муж,неод=(вин,мн|им,мн) -- SPRO,ед,2-л=им 
 S,муж,од=им,мн -- S,жен,неод=(вин,мн|род,ед|им,мн) 
 SPRO,ед,2-л=им -- S,ед,жен,неод=род 
 SPRO,ед,2-л=им -- S,жен,неод=(вин,мн|род,ед|им,мн) 
 SPRO,ед,2-л=им -- S,мж,од=(род,ед|им,мн) 
 SPRO,ед,2-л=им -- S,муж,неод=(вин,мн|им,мн) 
 SPRO,ед,2-л=им -- SPRO,ед,2-л=им"
